0                         , 1                         , 2                         , 3                         , 4                         , 5                         , 6                         , 7                         , 8                         , 9                         , 10
2025-04-17 19:57:54.922944, 2025-04-18 19:57:54.922944, 2025-04-21 19:57:54.922944, 2025-04-22 19:57:54.922944, 2025-04-23 19:57:54.922944, 2025-04-24 19:57:54.922944, 2025-04-25 19:57:54.922944, 2025-04-28 19:57:54.922944, 2025-04-29 19:57:54.922944, 2025-04-30 19:57:54.922944, 2025-05-01 19:57:54.922944
100.0                     , 98.34374512342725         , 97.25285064381254         , 98.32055336153371         , 96.58510089934467         , 97.9328192621619          , 96.88677674455197         , 99.35308304248245         , 100.02817291596531        , 96.54277577203021         , 98.03827354873276
100.0                     , 100.198067514878          , 100.39498325329654        , 99.31637993052388         , 100.25276236120136        , 102.2149128384842         , 106.11133164038382        , 105.306928613071          , 106.74516395527911        , 108.07815060243762        , 109.39814798707158
100.0                     , 98.64772764252733         , 96.44714745237242         , 96.32943241607089         , 97.99287039895589         , 97.79893596102023         , 98.37433104884127         , 98.86301821087098         , 99.7026925726087          , 99.69419604484806         , 102.88252621884538
100.0                     , 100.93661620126481        , 100.63843664816405        , 100.88180592178168        , 102.37325867625707        , 99.46796263064837         , 100.02878224184664        , 98.85301786437455         , 97.97972020207574         , 98.40111494560274         , 98.44384080469288
100.0                     , 99.71273963902625         , 98.95929174263745         , 101.32575860301036        , 100.71272408035547        , 103.23895643022104        , 100.81065571914414        , 101.40626369894643        , 101.10823203303748        , 101.47295419333544        , 101.86106369259213
100.0                     , 96.80343558079106         , 95.06397117181294         , 93.79733077880373         , 92.17192280295964         , 91.56376147078745         , 90.84889235538506         , 89.09841544315458         , 88.72687103815719         , 90.24611946371148         , 89.46314982284558
100.0                     , 99.9118317946458          , 100.46127470264624        , 102.91780331606112        , 101.4466860453182         , 99.32094240133479         , 99.24462053879856         , 98.62450814022603         , 98.89756882406259         , 98.37662193252085         , 100.02540167458437
100.0                     , 99.79731221579416         , 100.7403096910373         , 99.34789160865184         , 98.06806338952377         , 98.44056954571703         , 96.80048281201243         , 96.59656662197892         , 98.12912455458704         , 95.92213910246086         , 96.05111204763055
100.0                     , 96.73848444489701         , 99.78517335727891         , 99.46726659722538         , 102.04870998081314        , 102.43717582735587        , 101.24835084249716        , 102.13465944867905        , 102.48604101738984        , 101.95443756006661        , 100.62276549590956
100.0                     , 100.09431794340553        , 100.1202560380673         , 100.38193958520951        , 101.42721556965785        , 102.05312596602548        , 102.784196672209          , 105.00964102300837        , 104.44255732463402        , 105.68737117218883        , 106.57829137730772
